ID,CredIssueEntID,CredIssueUserID,CredIssueTime,CredIssueAmount,Event1,Event2,Event3,Event4
60001,AAAAAAAA,AA12345678aa00000000,2017-02-11 09:20:28,91259.0,1,0,0,0
60002,AAAAAAAA,AA12345678aa00000078,2017-02-11 09:18:40,30916.0,1,0,0,0
60003,AAAAAAAA,AA12345678aa00000067,2017-02-11 09:40:53,52239.0,1,0,0,0
60004,AAAAAAAA,AA12345678aa00000089,2017-02-11 09:27:37,13692.0,1,0,0,0
60005,AAAAAAAA,AA12345678aa00000095,2017-02-11 09:03:49,7347.0,1,0,0,0
60006,AAAAAAAA,AA12345678aa00000065,2017-02-11 09:01:18,58258.0,1,0,0,0
60007,AAAAAAAA,AA12345678aa00000050,2017-02-11 09:06:15,59207.0,1,0,0,0
60008,AAAAAAAA,AA12345678aa00000026,2017-02-11 09:40:07,77794.0,1,0,0,0
60009,AAAAAAAA,AA12345678aa00000042,2017-02-11 09:27:45,52116.0,1,0,0,0
60010,AAAAAAAA,AA12345678aa00000071,2017-02-11 09:26:56,68090.0,1,0,0,0
60011,AAAAAAAA,AA12345678aa00000040,2017-02-11 09:16:21,39914.0,1,0,0,0
60012,AAAAAAAA,AA12345678aa00000084,2017-02-11 09:23:56,84416.0,1,0,0,0
60013,AAAAAAAA,AA12345678aa00000059,2017-02-11 09:34:05,67987.0,1,0,0,0
60014,AAAAAAAA,AA12345678aa00000096,2017-02-11 09:13:42,88176.0,1,0,0,0
60015,AAAAAAAA,AA12345678aa00000069,2017-02-11 09:24:01,15844.0,1,0,0,0
60016,AAAAAAAA,AA12345678aa00000060,2017-02-11 09:11:54,78628.0,1,0,0,0
60017,AAAAAAAA,AA12345678aa00000010,2017-02-11 09:56:20,18910.0,1,0,0,0
60018,AAAAAAAA,AA12345678aa00000088,2017-02-11 09:30:11,77927.0,1,0,0,0
60019,AAAAAAAA,AA12345678aa00000083,2017-02-11 09:09:31,98319.0,1,0,0,0
60020,AAAAAAAA,AA12345678aa00000064,2017-02-11 09:18:44,78158.0,1,0,0,0
60021,AAAAAAAA,AA12345678aa00000036,2017-02-11 09:34:17,68586.0,1,0,0,0
60022,AAAAAAAA,AA12345678aa00000073,2017-02-11 09:47:30,36012.0,1,0,0,0
60023,AAAAAAAA,AA12345678aa00000076,2017-02-11 09:42:36,27800.0,1,0,0,0
60024,AAAAAAAA,AA12345678aa00000054,2017-02-11 09:19:11,17894.0,1,0,0,0
60025,AAAAAAAA,AA12345678aa00000012,2017-02-11 09:30:55,82888.0,1,0,0,0
60026,AAAAAAAA,AA12345678aa00000002,2017-02-11 09:15:35,37571.0,1,0,0,0
60027,AAAAAAAA,AA12345678aa00000094,2017-02-11 09:38:58,65251.0,1,0,0,0
60028,AAAAAAAA,AA12345678aa00000096,2017-02-11 09:30:23,5623.0,1,0,0,0
60029,AAAAAAAA,AA12345678aa00000018,2017-02-11 09:43:45,88186.0,1,0,0,0
60030,AAAAAAAA,AA12345678aa00000073,2017-02-11 09:14:57,28009.0,1,0,0,0
60031,AAAAAAAA,AA12345678aa00000006,2017-02-11 09:50:07,71279.0,1,0,0,0
60032,AAAAAAAA,AA12345678aa00000053,2017-02-11 09:26:22,21452.0,1,0,0,0
60033,AAAAAAAA,AA12345678aa00000009,2017-02-11 09:10:57,29393.0,1,0,0,0
60034,AAAAAAAA,AA12345678aa00000027,2017-02-11 09:16:10,42409.0,1,0,0,0
60035,AAAAAAAA,AA12345678aa00000074,2017-02-11 09:01:26,62025.0,1,0,0,0
60036,AAAAAAAA,AA12345678aa00000053,2017-02-11 09:44:19,4759.0,1,0,0,0
60037,AAAAAAAA,AA12345678aa00000076,2017-02-11 09:27:23,25695.0,1,0,0,0
60038,AAAAAAAA,AA12345678aa00000085,2017-02-11 09:37:33,33274.0,1,0,0,0
60039,AAAAAAAA,AA12345678aa00000060,2017-02-11 09:06:47,31785.0,1,0,0,0
60040,AAAAAAAA,AA12345678aa00000052,2017-02-11 09:51:32,36928.0,1,0,0,0
60041,AAAAAAAA,AA12345678aa00000039,2017-02-11 09:59:06,58496.0,1,0,0,0
60042,AAAAAAAA,AA12345678aa00000005,2017-02-11 09:08:23,22606.0,1,0,0,0
60043,AAAAAAAA,AA12345678aa00000049,2017-02-11 09:13:16,99506.0,1,0,0,0
60044,AAAAAAAA,AA12345678aa00000009,2017-02-11 09:35:49,39796.0,1,0,0,0
60045,AAAAAAAA,AA12345678aa00000045,2017-02-11 09:13:30,85714.0,1,0,0,0
60046,AAAAAAAA,AA12345678aa00000096,2017-02-11 09:14:45,46516.0,1,0,0,0
60047,AAAAAAAA,AA12345678aa00000056,2017-02-11 09:56:23,85419.0,1,0,0,0
60048,AAAAAAAA,AA12345678aa00000031,2017-02-11 09:18:48,97275.0,1,0,0,0
60049,AAAAAAAA,AA12345678aa00000051,2017-02-11 09:39:53,53407.0,1,0,0,0
60050,AAAAAAAA,AA12345678aa00000083,2017-02-11 09:54:52,17014.0,1,0,0,0
