"ID","CredIssueEntID","CredIssueUserID","CredIssueTime","CredIssueAmount","Event1","Event2","Event3","Event4"
60001,"AAAAAAAA","AA12345678aa00000000",2017-02-11 09:20:28,91259.00,1,0,0,0
60002,"AAAAAAAA","AA12345678aa00000078",2017-02-11 09:18:40,30916.00,1,0,0,0
60003,"AAAAAAAA","AA12345678aa00000067",2017-02-11 09:40:53,52239.00,1,0,0,0
60004,"AAAAAAAA","AA12345678aa00000089",2017-02-11 09:27:37,13692.00,1,0,0,0
60005,"AAAAAAAA","AA12345678aa00000095",2017-02-11 09:03:49,7347.00,1,0,0,0
60006,"AAAAAAAA","AA12345678aa00000065",2017-02-11 09:01:18,58258.00,1,0,0,0
60007,"AAAAAAAA","AA12345678aa00000050",2017-02-11 09:06:15,59207.00,1,0,0,0
60008,"AAAAAAAA","AA12345678aa00000026",2017-02-11 09:40:07,77794.00,1,0,0,0
60009,"AAAAAAAA","AA12345678aa00000042",2017-02-11 09:27:45,52116.00,1,0,0,0
60010,"AAAAAAAA","AA12345678aa00000071",2017-02-11 09:26:56,68090.00,1,0,0,0
60011,"AAAAAAAA","AA12345678aa00000040",2017-02-11 09:16:21,39914.00,1,0,0,0
60012,"AAAAAAAA","AA12345678aa00000084",2017-02-11 09:23:56,84416.00,1,0,0,0
60013,"AAAAAAAA","AA12345678aa00000059",2017-02-11 09:34:05,67987.00,1,0,0,0
60014,"AAAAAAAA","AA12345678aa00000096",2017-02-11 09:13:42,88176.00,1,0,0,0
60015,"AAAAAAAA","AA12345678aa00000069",2017-02-11 09:24:01,15844.00,1,0,0,0
60016,"AAAAAAAA","AA12345678aa00000060",2017-02-11 09:11:54,78628.00,1,0,0,0
60017,"AAAAAAAA","AA12345678aa00000010",2017-02-11 09:56:20,18910.00,1,0,0,0
60018,"AAAAAAAA","AA12345678aa00000088",2017-02-11 09:30:11,77927.00,1,0,0,0
60019,"AAAAAAAA","AA12345678aa00000083",2017-02-11 09:09:31,98319.00,1,0,0,0
60020,"AAAAAAAA","AA12345678aa00000064",2017-02-11 09:18:44,78158.00,1,0,0,0
60021,"AAAAAAAA","AA12345678aa00000036",2017-02-11 09:34:17,68586.00,1,0,0,0
60022,"AAAAAAAA","AA12345678aa00000073",2017-02-11 09:47:30,36012.00,1,0,0,0
60023,"AAAAAAAA","AA12345678aa00000076",2017-02-11 09:42:36,27800.00,1,0,0,0
60024,"AAAAAAAA","AA12345678aa00000054",2017-02-11 09:19:11,17894.00,1,0,0,0
60025,"AAAAAAAA","AA12345678aa00000012",2017-02-11 09:30:55,82888.00,1,0,0,0
60026,"AAAAAAAA","AA12345678aa00000002",2017-02-11 09:15:35,37571.00,1,0,0,0
60027,"AAAAAAAA","AA12345678aa00000094",2017-02-11 09:38:58,65251.00,1,0,0,0
60028,"AAAAAAAA","AA12345678aa00000096",2017-02-11 09:30:23,5623.00,1,0,0,0
60029,"AAAAAAAA","AA12345678aa00000018",2017-02-11 09:43:45,88186.00,1,0,0,0
60030,"AAAAAAAA","AA12345678aa00000073",2017-02-11 09:14:57,28009.00,1,0,0,0
60031,"AAAAAAAA","AA12345678aa00000006",2017-02-11 09:50:07,71279.00,1,0,0,0
60032,"AAAAAAAA","AA12345678aa00000053",2017-02-11 09:26:22,21452.00,1,0,0,0
60033,"AAAAAAAA","AA12345678aa00000009",2017-02-11 09:10:57,29393.00,1,0,0,0
60034,"AAAAAAAA","AA12345678aa00000027",2017-02-11 09:16:10,42409.00,1,0,0,0
60035,"AAAAAAAA","AA12345678aa00000074",2017-02-11 09:01:26,62025.00,1,0,0,0
60036,"AAAAAAAA","AA12345678aa00000053",2017-02-11 09:44:19,4759.00,1,0,0,0
60037,"AAAAAAAA","AA12345678aa00000076",2017-02-11 09:27:23,25695.00,1,0,0,0
60038,"AAAAAAAA","AA12345678aa00000085",2017-02-11 09:37:33,33274.00,1,0,0,0
